AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date,Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
Nippon Life India Asset Management Limited,118583,Nippon India Interval Fund-Quarterly Interval Fund-Series-III,Interval Fund,Income,Nippon India Quarterly Interval Fund - Series III - Direct Plan Growth Plan - Growth,5000/-,06-Jun-2007,06-Jun-2007,INF204K01XW4-
ICICI Prudential Asset Management Company Limited,120639,ICICI Prudential Interval Fund - Quarterly Interval Plan - II,Open Ended,Income,ICICI Prudential Interval Fund II Quarterly Interval - Direct Plan -  Growth,Retail Opt Rs.5000/-; Institutional Opt  Rs25 Lacs,12-Jun-2007,,INF109K01L85
Kotak Mahindra Asset Management Company Limited.,119771,Kotak Arbitrage Fund,Open Ended,Hybrid Scheme - Arbitrage Fund,Kotak Arbitrage Fund - Direct Plan - Growth,5000,12-Sep-2005,,INF174K01LC6
DSP Asset Managers Private Limited,119212,DSP Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,DSP Small Cap Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,04-May-2007,25-May-2007,INF740K01QD1
UTI Asset Mgmt. Co. Ltd.,122165,UTI Quarterly Interval Fund - I,Close Ended,Income,UTI Quarterly Interval Fund - I -Direct Plan - Growth Option,10000,14-Jun-2007,,INF789F01WI5
ICICI Prudential Asset Management Company Limited,120655,ICICI Prudential Interval Fund - Quarterly Interval Plan - III,Open Ended,Income,ICICI Prudential Interval Fund III Quarterly Interval - Direct Plan -  Growth,Rs. 5000/-,12-Jul-2007,,INF109K01M01
Invesco Asset Management (India) Private Limited,120357,Invesco India Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Invesco India Large & Mid Cap Fund - Direct Plan - Growth,5000,09-Jul-2007,19-Jul-2007,INF205K01MA0
UTI Asset Mgmt. Co. Ltd.,120970,UTI - FIIF Monthly Interval Plan I,Close Ended,Income,UTI - Fixed Income Interval Fund - Monthly Interval Plan  - Direct Plan - Growth Option,10000,20-Jun-2007,,INF789F01VQ0
quant Money Managers Limited,120833,Quant Infrastructure Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Infrastructure Fund - Growth Option-Direct Plan,Rs. 5000/-,26-Jul-2007,24-Aug-2007,INF966L01721
Invesco Asset Management (India) Private Limited,120497,Invesco India Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Invesco India Corporate Bond Fund - Direct Plan - Growth,5000/- and in multiples of Re.1/-,27-Jul-2007,30-Jul-2007,INF205K01RF8
UTI Asset Mgmt. Co. Ltd.,123646,UTI Annual Interval Fund - I,Close Ended,Income,UTI Annual Interval Fund - I - Direct Plan - Growth Option,10000,11-Jul-2007,,INF789F01VW8
Nippon Life India Asset Management Limited,118632,Nippon India Large Cap Fund,Open Ended,Equity Scheme - Large Cap Fund,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,5000/-,12-Jun-2007,10-Jul-2007,INF204K01XI3
Nippon Life India Asset Management Limited,118633,Nippon India Large Cap Fund,Open Ended,Equity Scheme - Large Cap Fund,Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option,5000/-,12-Jun-2007,10-Jul-2007,INF204K01D30
ICICI Prudential Asset Management Company Limited,120625,ICICI Prudential Interval Fund - Annual Interval Plan - I,Open Ended,Income,ICICI Prudential Interval Fund Annual Interval Plan I - Direct Plan -  Growth,Retail Rs.5000/-&Institutional 2 Crores,14-Aug-2007,,INF109K01K45
Invesco Asset Management (India) Private Limited,120333,Invesco India Balanced Advantage Fund,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Invesco India Balanced Advantage Fund - Direct Plan - Growth,Rs. 5000/- Application & in multiples of Re. 1/-,16-Aug-2007,07-Sep-2007,INF205K01LN5
Canara Robeco Asset Management Company Limited,118317,Canara Robeco Ultra Short Term Fund,Open Ended,Debt Scheme - Ultra Short Duration Fund,CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - GROWTH OPTION,Rs. 5000.00 and in multiples,29-Aug-2003,29-Aug-2003,INF760K01GM1
UTI Asset Mgmt. Co. Ltd.,124596,UTI - FIIF Annual Interval Plan II,Close Ended,Income,UTI F I I F-Annual Interval Plan Series - II - Direct Plan - Growth Option,10000,06-Aug-2007,,INF789F01VZ1
UTI Asset Mgmt. Co. Ltd.,121413,UTI - FIIF Quarterly Interval Plan III,Close Ended,Income,UTI Fixed  Income Interval Fund ( Quarterly Interval Plan - III) - Direct Plan - Growth Option,10000,14-Aug-2007,,INF789F01WL9
Sundaram Asset Management Company Ltd,119602,Sundaram Global Brand Theme-Equity Active FOF,Open Ended,Other Scheme - FoF Overseas,Sundaram Global Brand Theme-Equity Active FOF - Direct Growth,5000,16-Jul-2007,31-Jul-2007,INF903J01OB6
UTI Asset Mgmt. Co. Ltd.,120718,UTI Short Duration Fund,Open Ended,Debt Scheme - Short Duration Fund,UTI Short Duration Fund - Direct Plan - Growth Option,10000,25-Jun-2003,,INF789F01XY0
Aditya Birla Sun Life AMC Limited,119535,Aditya Birla Sun Life Interval Income Fund - Quarterly Series I,Close Ended,Income,Aditya Birla Sun Life Interval Income Fund - Quarterly Series I - Growth - Direct Plan,Minimum 5000/- and in multiples of 1 thereafter,17-Aug-2007,28-Aug-2007,INF209K01YQ3
UTI Asset Mgmt. Co. Ltd.,120780,UTI - India Consumer Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,UTI India Consumer Fund - Direct Plan - Growth Option,5000,02-Jul-2007,,INF789F01VF3
Kotak Mahindra Asset Management Company Limited.,119779,Kotak Global Emerging Market Fund,Open Ended,Other Scheme - FoF Overseas,Kotak Global Emerging Market Fund - Growth - Direct,5000,25-Jul-2007,24-Aug-2007,INF174K01LW4
DSP Asset Managers Private Limited,119277,DSP World Gold Fund of Fund,Open Ended,Other Scheme - FoF Overseas,DSP World Gold Fund of Fund - Direct Plan - Growth,Rs. 1000/- & any amount thereafter,25-Jul-2007,23-Aug-2007,INF740K01OZ9
Invesco Asset Management (India) Private Limited,120405,Invesco India Infrastructure Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Invesco India Infrastructure Fund - Direct Plan - Growth Option,Rs.5000/- per application + in multiples of Re.1,25-Sep-2007,24-Oct-2007,INF205K01MD4
UTI Asset Mgmt. Co. Ltd.,125077,UTI Annual Interval Fund - II,Close Ended,Income,UTI Annual Interval Fund - II - Direct Plan - Growth Option,10000,14-Sep-2007,,INF789F01WC8
Sahara Asset Management Company Private Limited,120361,Sahara R.E.A.L Fund,Open Ended,Growth,Sahara R.E.A.L Fund - Growth  Fund- Direct,5000,05-Oct-2007,02-Nov-2007,INF515L01AA5
ICICI Prudential Asset Management Company Limited,120627,ICICI Prudential Interval Fund - Annual Interval Plan - II,Open Ended,Income,ICICI Prudential Interval Fund Annual Interval Plan II - Direct Plan -  Growth,Retail Rs.5000/-&Institutional 2 Crores,01-Oct-2007,,INF109K01K60
ICICI Prudential Asset Management Company Limited,120629,ICICI Prudential Interval Fund - Annual Interval Plan - III,Open Ended,Income,ICICI Prudential Interval Fund Annual Interval Plan III - Direct Plan -  Growth,Retail Rs.5000/-&Institutional 2 Crores,10-Oct-2007,,INF109K01K86
HDFC Asset Management Company Limited,129052,HDFC Arbitrage Fund,Open Ended,Hybrid Scheme - Arbitrage Fund,HDFC ARBITRAGE FUND - Wholesale Growth Option - Direct Plan,Ws Gr/Div Rs 1Cr Ret-Gr/QtrDiv Rs 5k/- MnDiv 25k,28-Sep-2007,15-Oct-2007,INF179KA1KT6
HDFC Asset Management Company Limited,118931,HDFC Arbitrage Fund,Open Ended,Hybrid Scheme - Arbitrage Fund,HDFC ARBITRAGE FUND - Growth Option - Direct Plan,Ws Gr/Div Rs 1Cr Ret-Gr/QtrDiv Rs 5k/- MnDiv 25k,28-Sep-2007,15-Oct-2007,INF179K01UU8
ICICI Prudential Asset Management Company Limited,120591,ICICI Prudential Smallcap Fund,Open Ended,Equity Scheme - Small Cap Fund,ICICI Prudential Smallcap Fund - Direct Plan - Growth,Rs. 5000 (plus in multiple of Re. 1/-),23-Aug-2007,,INF109K015M0
ICICI Prudential Asset Management Company Limited,120642,ICICI Prudential Interval Fund II - Quarterly Interval Plan - A,Open Ended,Income,ICICI Prudential Interval Fund II Quarterly Interval Plan A - Direct Plan -  Growth,Rs. 5000/-,22-Oct-2007,,INF109K01M43
ICICI Prudential Asset Management Company Limited,120631,ICICI Prudential Interval Fund - Annual Interval Plan - IV,Open Ended,Income,ICICI Prudential Interval Fund Annual Interval Plan IV - Direct Plan -  Growth,Retail Rs.5000/-&Institutional 2 Crores,10-Oct-2007,,INF109K01L02
HDFC Asset Management Company Limited,118961,HDFC Floating Rate Debt Fund,Open Ended,Debt Scheme - Floater Fund,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option,10000000,23-Oct-2007,23-Oct-2007,INF179K01VQ4
ICICI Prudential Asset Management Company Limited,120633,ICICI Prudential Interval Fund - Half Yearly Interval Plan - II,Open Ended,Income,ICICI Prudential Interval Fund Half Yearly Interval Plan II - Direct Plan -  Growth,Rs. 5000/-,12-Oct-2007,,INF109K01M27
Aditya Birla Sun Life AMC Limited,119517,Aditya Birla Sun Life International Equity Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life International Equity Fund - Growth - Direct Plan,1000,17-Sep-2007,16-Oct-2007,INF209K01WS3
Aditya Birla Sun Life AMC Limited,119518,Aditya Birla Sun Life International Equity Fund Plan B,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Direct Plan,1000,17-Sep-2007,16-Oct-2007,INF209K01WU9
ICICI Prudential Asset Management Company Limited,120643,ICICI Prudential Interval Fund II - Quarterly Interval Plan - B,Open Ended,Income,ICICI Prudential Interval Fund II Quarterly Interval Plan B - Direct Plan -  Growth,Retail Rs. 5000/-; Insti Option  Rs 25 Lacs,05-Nov-2007,06-Nov-2007,INF109K01M68
ICICI Prudential Asset Management Company Limited,120646,ICICI Prudential Interval Fund II - Quarterly Interval Plan - C,Open Ended,Income,ICICI Prudential Interval Fund II Quarterly Interval Plan C - Direct Plan -  Growth,Retail  Rs. 5000/- Inst Opt  Rs 25 Lacs,21-Nov-2007,,INF109K01L44
Franklin Templeton Asset Management (India) Private Limited,118559,Franklin Asian Equity Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Franklin Asian Equity Fund - Direct - Growth,Rs.5000,19-Nov-2007,,INF090I01IZ5
UTI Asset Mgmt. Co. Ltd.,126031,UTI - FIIF Annual Interval Plan IV,Close Ended,Income,UTI Fixed Interval Income Fund (Annual Interval Plan) Series IV - Direct Plan - Growth Option,10000,15-Nov-2007,,INF789F01WF1
UTI Asset Mgmt. Co. Ltd.,122642,UTI - FIIF Half Yearly Plan I,Close Ended,Income,UTI Fixed  Income Interval Fund ( Half Yearly Plan - I) - Direct Plan - Growth Option,10000,15-Nov-2007,,INF789F01VT4
ICICI Prudential Asset Management Company Limited,120649,ICICI Prudential Interval Fund II - Quarterly Interval Plan - D,Open Ended,Income,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Direct Plan - Growth,Retail Rs.5000 Insti Rs. 25 lacs,03-Dec-2007,,INF109K01M84
UTI Asset Mgmt. Co. Ltd.,120903,UTI - FIIF Monthly Interval Plan II,Close Ended,Income,UTI Fixed Income Interval Fund - Monthly Interval Plan II-Direct Plan - Growth Option,10000,19-Nov-2007,,INF789F01VN7
UTI Asset Mgmt. Co. Ltd.,125953,UTI - FIIF Half Yearly Plan II,Close Ended,Income,UTI Fixed Income Interval Fund ( Half Yearly Plan-II)- Direct Plan - Growth Option,10000,19-Nov-2007,,INF789F01WX4
Franklin Templeton Asset Management (India) Private Limited,147973,Franklin India Ultra Short Bond Fund (no. of segregated portfolio-1),Open Ended,Debt Scheme - Ultra Short Duration Fund,Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Option,Ret Rs.25000; Insti Rs.1Cr Sup Inst Rs.5 Crs,18-Dec-2007,,INF090I01VK0
Franklin Templeton Asset Management (India) Private Limited,118560,Franklin India Ultra Short Bond Fund (no. of segregated portfolio-1),Open Ended,Debt Scheme - Ultra Short Duration Fund,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Direct - Growth,Ret Rs.25000; Insti Rs.1Cr Sup Inst Rs.5 Crs,18-Dec-2007,,INF090I01JA6
JM Financial Asset Management Limited,120494,JM ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,JM ELSS Tax Saver Fund (Direct) - Growth Option,Rs 500/- and in multiples of Rs 500/- thereafter,24-Dec-2007,25-Mar-2008,INF192K01CE3
ICICI Prudential Asset Management Company Limited,120652,ICICI Prudential Interval Fund II - Quarterly Interval Plan - F,Open Ended,Income,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Growth,5000,24-Dec-2007,,INF109K01N00
Invesco Asset Management (India) Private Limited,120413,Invesco India Multicap Fund,Open Ended,Equity Scheme - Multi Cap Fund,Invesco India Multicap Fund - Direct Plan - Growth Option,Rs.5000 & in multiples of Re.1,07-Jan-2008,19-Feb-2008,INF205K01MS2
JM Financial Asset Management Limited,120488,JM Focused Fund,Open Ended,Equity Scheme - Focused Fund,JM Focused Fund (Direct)  - Growth Option,,14-Jan-2008,15-Feb-2008,INF192K01BW7
Invesco Asset Management (India) Private Limited,120520,Invesco India Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,Invesco India Gilt Fund - Direct  Plan - Growth,Rs. 5000/- and in multiples of Re.1/-,30-Jan-2008,06-Feb-2008,INF205K01SN0
HDFC Asset Management Company Limited,118979,HDFC Infrastructure Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Infrastructure Fund - Growth Option - Direct Plan,Rs. 5000,08-Jan-2008,21-Feb-2008,INF179K01WQ2
Mirae Asset Investment Managers (India) Pvt. Ltd,118825,Mirae Asset Large Cap Fund,Open Ended,Equity Scheme - Large Cap Fund,Mirae Asset Large Cap Fund - Direct Plan - Growth,Regular Rs.5000/- & Institutional Rs. 5 Crores,11-Feb-2008,10-Mar-2008,INF769K01AX2
Mirae Asset Investment Managers (India) Pvt. Ltd,118840,Mirae Asset Low Duration Fund,Open Ended,Debt Scheme - Low Duration Fund,Mirae Asset Low Duration Fund - Direct Plan - Growth,Regular Plan - Rs.5000/- & in multiples of Re.1/,29-Feb-2008,03-Mar-2008,INF769K01BO9
LIC Mutual Fund Asset Management Limited,120351,LIC MF Infrastructure Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,LIC MF Infrastructure Fund-Direct Plan-Growth,2000/-,31-Jan-2008,29-Feb-2008,INF767K01GW5
HSBC Asset Management (India) Private Ltd.,120043,HSBC Global Emerging Markets Fund,Open Ended,Other Scheme - FoF Overseas,HSBC Global Emerging Market Fund - Growth Direct,5000,28-Jan-2008,25-Feb-2008,INF336L01CJ3
Aditya Birla Sun Life AMC Limited,119659,Aditya Birla Sun Life Value Fund,Open Ended,Equity Scheme - Value Fund,Aditya Birla Sun Life Value Fund - Growth - Direct Plan,5000,17-Jan-2008,01-Mar-2008,INF209K01WQ7
DSP Asset Managers Private Limited,119028,DSP Natural Resources And New Energy Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,03-Mar-2008,27-Mar-2008,INF740K01QA7
Nippon Life India Asset Management Limited,118769,Nippon India Quant Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Nippon India Quant Fund - Direct Plan Growth Plan - Growth Option,Rs 5000 per plan per option,18-Apr-2008,18-Apr-2008,INF204K01J34
Nippon Life India Asset Management Limited,118770,Nippon India Quant Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Nippon India Quant Fund - Direct Plan Growth Plan - Bonus Option,Rs 5000 per plan per option,18-Apr-2008,18-Apr-2008,INF204K01J00
Sahara Asset Management Company Private Limited,120371,Sahara Power and Natural Resources Fund,Open Ended,Growth,Sahara Power & Natural resources Fund- Growth - Direct,5000,28-Apr-2008,27-May-2008,INF515L01AG2
Invesco Asset Management (India) Private Limited,120385,Invesco India Financial Services Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Invesco India Financial Services Fund - Direct Plan - Growth,Rs. 5000/- per application,19-May-2008,17-Jun-2008,INF205K01KY4
ICICI Prudential Asset Management Company Limited,120586,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),Open Ended,Equity Scheme - Large Cap Fund,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,Rs. 5000/- (plus in multiple of Re. 1/-),08-Apr-2008,,INF109K016L0
Kotak Mahindra Asset Management Company Limited.,119755,Kotak Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,Kotak Dynamic Bond Fund - Growth - Direct,1000,26-May-2008,26-May-2008,INF174K01JU2
Bandhan AMC Limited,118410,Bandhan Income Plus Arbitrage Fund of Funds,Open Ended,Other Scheme - FoF Domestic,Bandhan Income Plus Arbitrage Fund of Funds - Direct Plan - Growth,Rs. 1000/- and any amount thereafter,09-Aug-2004,,INF194K01U72
Bandhan AMC Limited,118421,Bandhan Focused Fund,Open Ended,Equity Scheme - Focused Fund,Bandhan Focused Fund - Direct Plan - Growth,Rs.5000/-,30-Jan-2006,,INF194K01W21
Bandhan AMC Limited,118424,BANDHAN Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,BANDHAN Flexi Cap Fund-Direct Plan-Growth,Rs. 10000/-,05-Sep-2005,,INF194K01W62
Bandhan AMC Limited,118419,Bandhan Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,Rs. 5000,27-Jun-2005,,INF194K01V89
Bandhan AMC Limited,118371,BANDHAN LOW DURATION FUND,Open Ended,Debt Scheme - Low Duration Fund,BANDHAN Low Duration Fund-Direct Plan-Growth,Minimum of Rs 100,12-Jan-2006,,INF194K01J77
Bandhan AMC Limited,118387,BANDHAN GSF - CONSTANT MATURITY PLAN,Open Ended,Debt Scheme - Gilt Fund with 10 year constant duration,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Growth,Rs.10000,21-Feb-2002,,INF194K01P38
Bandhan AMC Limited,118364,BANDHAN LIQUID Fund,Open Ended,Debt Scheme - Liquid Fund,BANDHAN LIQUID Fund -Direct Plan-Growth,Rs.100,01-Jan-1900,01-Jan-1900,INF194K01I60
Bandhan AMC Limited,118384,Bandhan Money  Market Fund,Open Ended,Debt Scheme - Money Market Fund,Bandhan Money Market Fund -Direct Plan-Growth,Rs. 100/-,01-Jan-2001,01-Jan-2001,INF194K01M80
Bandhan AMC Limited,118407,BANDHAN BOND FUND - SHORT TERM PLAN,Open Ended,Debt Scheme - Short Duration Fund,BANDHAN Bond Fund - Short Term-Direct Plan-Growth,500,01-Apr-2001,,INF194K01U07
Bandhan AMC Limited,118401,BANDHAN BOND FUND - MEDIUM TERM PLAN,Open Ended,Debt Scheme - Medium Duration Fund,BANDHAN Bond Fund - Medium Term Plan-Direct Plan-Growth,10,01-Apr-2001,,INF194K01S50
Bandhan AMC Limited,118394,BANDHAN BOND FUND - INCOME PLAN,Open Ended,Debt Scheme - Medium to Long Duration Fund,BANDHAN Bond Fund - Income Plan-Direct Plan-Growth,Rs. 500/-,01-Jan-2005,,INF194K01R51
Bandhan AMC Limited,118479,BANDHAN LARGE CAP FUND,Open Ended,Equity Scheme - Large Cap Fund,BANDHAN Large Cap Fund-Direct Plan-Growth,Rs. 1000/-,19-Apr-2006,,INF194K01Z44
Bandhan AMC Limited,118474,BANDHAN Arbitrage Fund,Open Ended,Hybrid Scheme - Arbitrage Fund,BANDHAN Arbitrage Fund-Direct Plan- Growth,Rs. 100/- and any amount thereafter,14-Nov-2006,,INF194K01Y60
Bandhan AMC Limited,118481,Bandhan Value Fund,Open Ended,Equity Scheme - Value Fund,Bandhan Value Fund - Direct Plan - Growth,Rs. 1000/- and any amount thereafter,09-Jan-2008,,INF194K01Z85
Bandhan AMC Limited,118477,BANDHAN EQUITY SAVINGS FUND,Open Ended,Hybrid Scheme - Equity Savings,BANDHAN Equity Savings Fund-Direct Plan-Growth,A Rs.10000/-;B Rs. 100000/-,05-May-2008,,INF194K01Z02
Sundaram Asset Management Company Ltd,119597,Sundaram Financial Services Opportunities Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Sundaram Financial Services Opportunities Fund Direct Plan - Growth,5000,10-May-2008,10-Jun-2008,INF903J01NB8
Bank of India Investment Managers Private Limited,119369,BANK OF INDIA LIQUID FUND,Open Ended,Debt Scheme - Liquid Fund,BANK OF INDIA Liquid Fund- Direct Plan- Growth,10000000,09-Jul-2008,14-Jul-2008,INF761K01785
Bank of India Investment Managers Private Limited,119379,BANK OF INDIA ULTRA SHORT DURATION FUND,Open Ended,Debt Scheme - Ultra Short Duration Fund,BANK OF INDIA Ultra Short Duration Fund- Direct Plan- Growth,5000,09-Jul-2008,14-Jul-2008,INF761K01892
quant Money Managers Limited,120834,Quant Focused Fund,Open Ended,Equity Scheme - Focused Fund,quant Focused Fund - Growth Option-Direct Plan,Rs. 5000/-,03-Jul-2008,01-Aug-2008,INF966L01853
ICICI Prudential Asset Management Company Limited,120244,ICICI Prudential Banking & Financial Services Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth,Retail Option Rs.5000 (plus in multiple of Re.1),09-Jul-2008,,INF109K013J1
UTI Asset Mgmt. Co. Ltd.,121034,UTI - FIIF Sr-2 Quarterly Interval Plan IV,Close Ended,Income,UTI F I I F Series II -Quarterly Interval Plan - IV -Direct Plan - Growth Option,10000.00,17-Jul-2008,,INF789F01WO3
Sahara Asset Management Company Private Limited,120373,SAHARA BANKING & FINANCIAL SERVICES FUND,Open Ended,Growth,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct,5000/-,28-Jul-2008,26-Aug-2008,INF515L01AJ6
JM Financial Asset Management Limited,120492,JM Flexicap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,JM Flexicap Fund (Direct) - Growth Option,Rs 5000/-,31-Jul-2008,29-Aug-2008,INF192K01CC7
UTI Asset Mgmt. Co. Ltd.,121182,UTI Quarterly Interval Fund - II,Close Ended,Income,UTI Quarterly Interval Fund - II - Direct Plan - Growth Option,10000,31-Jul-2008,,INF789F01WR6
Nippon Life India Asset Management Limited,133265,Nippon India Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,Nippon India Gilt  Fund- Direct Plan- Growth Plan- Bonus Option,Rs. 5000 & in multiples of Re 1 thereafter,22-Aug-2008,22-Aug-2008,INF204KA1YV2
Nippon Life India Asset Management Limited,118672,Nippon India Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,Nippon India Gilt  Fund - Direct Plan Growth Plan - Growth Option,Rs. 5000 & in multiples of Re 1 thereafter,22-Aug-2008,22-Aug-2008,INF204K01XP8
ICICI Prudential Asset Management Company Limited,120619,ICICI Prudential Bond Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,ICICI Prudential Bond Fund - Direct Plan - Growth,Retail Option  Rs.5000/-;Insti Option Rs 5 Crores,13-Aug-2008,,INF109K01V83
quant Money Managers Limited,120843,Quant Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,quant Flexi Cap Fund - Growth Option-Direct Plan,Rs. 5000/-,25-Aug-2008,23-Sep-2008,INF966L01911
UTI Asset Mgmt. Co. Ltd.,121722,UTI Quarterly Interval Fund - III,Close Ended,Income,UTI Quarterly Interval Fund - III -Direct Plan - Growth Option,10000.00,27-Aug-2008,,INF789F01WU0
ICICI Prudential Asset Management Company Limited,120661,ICICI Prudential Interval Fund V - Monthly Interval Plan A,Open Ended,Income,ICICI Prudential Interval Fund V Monthly Interval Plan A - Direct Plan - Growth,Retail  Rs.5000/-; Insti  Rs.25 Lacs,04-Sep-2008,,INF109K01N26
ICICI Prudential Asset Management Company Limited,120623,ICICI Prudential Interval Fund IV - Quarterly Interval Plan B,Open Ended,Income,ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Growth,Retail - Rs. 5000; Institutional - Rs.2 Crores,18-Sep-2008,,INF109K01N42
UTI Asset Mgmt. Co. Ltd.,120877,UTI - FIIF Sr-2 Quarterly Interval Plan VII,Close Ended,Income,UTI F I I F Series II -Quarterly Interval Plan - VII - Direct Plan - Growth Option,10000,26-Sep-2008,,INF789F01VK3
Bank of India Investment Managers Private Limited,119350,BANK OF INDIA LARGE & MID CAP EQUITY FUND,Open Ended,Equity Scheme - Large & Mid Cap Fund,BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Growth,5000,04-Sep-2008,01-Oct-2008,INF761K01652
Aditya Birla Sun Life AMC Limited,119576,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Direct Plan,5000,15-Sep-2008,14-Oct-2008,INF209K01VL0
Bandhan AMC Limited,118416,BANDHAN Dynamic Bond Fund,Open Ended,Debt Scheme - Dynamic Bond,BANDHAN Dynamic Bond Fund-Direct Plan-Growth,Rs.5000/-,25-Jun-2002,,INF194K01N63
Bandhan AMC Limited,118464,BANDHAN GSF Investment Plan,Open Ended,Debt Scheme - Gilt Fund,BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Growth,Rs.10000,21-Feb-2002,,INF194K01Q29
Quantum Asset Management Company Private Limited,111549,Quantum ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,500,10-Dec-2008,13-Dec-2008,INF082J01069
Bandhan AMC Limited,118473,BANDHAN ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,Rs. 500/- and in multiples of Rs.500/- thereafter.,01-Dec-2008,,INF194K01Y29
Bank of India Investment Managers Private Limited,119382,BANK OF INDIA SHORT TERM INCOME FUND,Open Ended,Debt Scheme - Short Duration Fund,BANK OF INDIA Short Term Income Fund-Direct Plan- Growth,5000,03-Dec-2008,10-Dec-2008,INF761K01736
UTI Asset Mgmt. Co. Ltd.,120760,UTI Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,UTI Multi Asset Allocation Fund - Direct Plan - Growth Option,5000,21-Oct-2008,,INF789F01VE6
Edelweiss Asset Management Limited,118620,Edelweiss ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,Rs. 500/- & in multiples of Rs. 500 thereafter,26-Dec-2008,26-Dec-2008,INF754K01CA8
Mirae Asset Investment Managers (India) Pvt. Ltd,118859,Mirae Asset Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Mirae Asset Liquid Fund - Direct Plan - Growth,5000,05-Jan-2009,06-Jan-2009,INF769K01CM1
Bank of India Investment Managers Private Limited,119351,BANK OF INDIA ELSS TAX SAVER,Open Ended,Equity Scheme - ELSS,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,5000,12-Dec-2008,12-Feb-2009,INF761K01884
Bank of India Investment Managers Private Limited,119393,BANK OF INDIA CONSERVATIVE HYBRID FUND,Open Ended,Debt Scheme - Medium to Long Duration Fund,BANK OF INDIA Conservative Hybrid Fund Fund-Direct Plan-Growth,10000,28-Jan-2009,24-Feb-2009,INF761K01819
