AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date,Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
Bank of India Investment Managers Private Limited,143614,BANK OF INDIA ARBITRAGE FUND,Open Ended,Hybrid Scheme - Arbitrage Fund,BANK OF INDIA Arbitrage Fund Direct Plan Growth,5000,31-May-2018,,INF761K01ED3
Kotak Mahindra Asset Management Company Limited.,143623,Kotak FMP Series 228,Close Ended,Income,Kotak FMP Series 228-Direct Plan - Growth Option,200000000,30-May-2018,,INF174K015Y5
Kotak Mahindra Asset Management Company Limited.,143625,Kotak FMP Series 229,Close Ended,Income,Kotak FMP Series 229 - Direct Plan - Growth Option,200000000,01-Jun-2018,,INF174K019Y7
Nippon Life India Asset Management Limited,143643,Nippon India Fixed Horizon Fund XXXVII- Series 12,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVII- Series 12- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,07-Jun-2018,,INF204KB1XY7
Nippon Life India Asset Management Limited,143648,Reliance Fixed Horizon Fund XXXVII- Series 13,Close Ended,Income,Reliance Fixed Horizon Fund XXXVII- Series 13- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,07-Jun-2018,,INF204KB1YC1
HSBC Asset Management (India) Private Ltd.,143668,HSBC Fixed Term Series 134 (1118 days plan),Close Ended,Income,HSBC Fixed Term Series 134 - Direct Plan Growth Option,5000,01-Jun-2018,,INF336L01MV7
Nippon Life India Asset Management Limited,143704,Nippon India Nivesh Lakshya Long Duration Fund,Open Ended,Debt Scheme - Long Duration Fund,Nippon India Nivesh Lakshya Long Duration Fund- Direct Plan- Growth Option,Rs. 5000 and in multiples of Re.1 thereafter,18-Jun-2018,,INF204KB1YQ1
UTI Asset Mgmt. Co. Ltd.,143741,UTI - Fixed Term Income fund - Series XXIX - VII (1135 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-VII (1135 days) - Direct Plan - Growth Option,Rs 5000,05-Jun-2018,,INF789FC11W7
Nippon Life India Asset Management Limited,143755,Nippon India Fixed Horizon Fund XXXVII- Series 15,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVII- Series 15- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter.,15-Jun-2018,,INF204KB1YO6
Franklin Templeton Asset Management (India) Private Limited,143780,Franklin India Fixed Maturity Plans- Series 3- Plan F (1098 days),Close Ended,Income,Franklin India Fixed Maturity Plans - Series 3 Plan F (1098 days) - Growth Direct,5000,11-Jun-2018,,INF090I01OJ7
